UID,State,Date Collected,Waterbody,Region,Province,SITESAMP,Ammonia (mg N/L),Chlorophyll A (ug/L),Dissolved Inorganic Nitrogen (mg N/L),Dissolved Inorganic Phosphate (mg P/L),Dissolved Silica (mg/L),Nitrate (mg N/L),Nitrate/Nitrite (mg N/L),Nitrite (mg N/L),Nitrogen Particulate (mg N/L),Phosphorus Particulate (mg P/L),Total Dissolved Nitrogen (mg N/L),Total Dissolved Phosphorus (mg P/L),Total Kjeldahl Nitrogen (mg N/L),Total Nitrogen (mg N/L),Total Phosphorus (mg P/L)
488,MI,2010-06-28,Lake Superior,Great Lakes,Great Lakes Province,Y,0.004,0.99,0.308,0.003,,,0.304,,,,,,,0.408125,0.00430925
489,MI,2010-06-27,Lake Superior,Great Lakes,Great Lakes Province,Y,0.003,1.39,0.322,0.002,,,0.319,,,,,,,0.438125,0.006830375
490,MI,2010-06-28,Lake Superior,Great Lakes,Great Lakes Province,Y,0.004,0.45,0.338,0.004,,,0.334,,,,,,,0.423875,0.00326925
494,MI,2010-06-15,Lake Superior,Great Lakes,Great Lakes Province,Y,0.001,0.89,0.346,0.005,,,0.345,,,,,,,0.4025,0.00249875
495,CA,2010-07-13,Newport Bay,West,Californian Province,Y,0.026,2.43,0.041,0.028,,,0.015,,,,,,,0.21125,0.0409975
496,CA,2010-07-14,Long Beach Harbor,West,Californian Province,Y,0.0,2.48,0.011,0.01,,,0.011,,,,,,,0.26875,0.03269
497,CA,2010-07-14,Long Beach Harbor,West,Californian Province,Y,0.0,3.34,0.011,0.013,,,0.011,,,,,,,0.365,0.04183125
498,GA,2010-07-20,Mud River,Southeast,Carolinian Province,Y,0.009,21.05,0.075,0.069,,,0.066,,,,,,,0.6825,0.1312875
499,CA,2010-07-15,Los Angeles Harbor,West,Californian Province,Y,0.0,4.4,0.01,0.016,,,0.01,,,,,,,0.25125,0.03651125
500,CA,2010-07-15,Los Angeles Harbor,West,Californian Province,Y,0.0,3.68,0.01,0.007,,,0.01,,,,,,,0.30375,0.03835
501,CA,2010-07-13,Dana Point Harbor,West,Californian Province,Y,0.016,2.21,0.105,0.026,,,0.089,,,,,,,0.24,0.03525875
502,CA,2010-07-15,Los Angeles Harbor,West,Californian Province,Y,0.001,3.58,0.011,0.011,,,0.01,,,,,,,0.24125,0.03186625
503,CA,2010-07-14,Long Beach Harbor,West,Californian Province,Y,0.0,2.65,0.012,0.014,,,0.012,,,,,,,0.28125,0.03466625
504,CA,2010-07-14,Long Beach Harbor,West,Californian Province,Y,0.0,2.05,0.012,0.01,,,0.012,,,,,,,0.255,0.02892875
506,NH,2010-07-07,Little Bay,Northeast,Acadian Province,Y,0.016,1.58,0.053,0.026,,,0.037,0.0,,,,,,0.444,0.031
511,NH,2010-07-12,Little Harbor,Northeast,Acadian Province,Y,0.028,1.8,0.079,0.029,,,0.051,0.0,,,,,,0.556,0.034
512,NH,2010-07-19,Great Bay,Northeast,Acadian Province,Y,0.012,5.39,0.038,0.018,,,0.026,0.0,,,,,,0.951,0.048
513,NH,2010-07-13,Piscataqua River,Northeast,Acadian Province,Y,0.007,4.57,0.086,0.023,,,0.079,0.0,,,,,,0.492,0.025
514,NH,2010-07-08,Little Bay,Northeast,Acadian Province,Y,0.0,1.85,0.011,0.028,,,0.006,0.0,,,,,,0.295,0.045
515,NH,2010-07-15,Piscataqua River,Northeast,Acadian Province,Y,0.017,1.43,0.179,0.021,,,0.162,0.006,,,,,,0.58,0.033
516,WA,2010-07-13,Hood Canal,West,Columbian Province,Y,0.004,0.85,0.01,0.013,,,0.006,,,,,,,0.1575,0.02451125
517,PA,2010-07-12,Lake Erie,Great Lakes,Great Lakes Province,Y,0.008,2.66,0.189,0.004,,,0.181,,,,,,,0.38625,0.006725
518,PA,2010-07-13,Lake Erie,Great Lakes,Great Lakes Province,Y,0.007,2.79,0.114,0.004,,,0.107,,,,,,,0.3025,0.00299125
519,PA,2010-07-12,Lake Erie,Great Lakes,Great Lakes Province,Y,0.008,2.71,0.194,0.004,,,0.186,,,,,,,0.3825,0.00439625
520,PA,2010-07-13,Lake Erie,Great Lakes,Great Lakes Province,Y,0.007,1.37,0.167,0.004,,,0.16,,,,,,,0.36125,0.004505
521,CT,2010-07-15,Long Island Sound,Northeast,Virginian Province,Y,0.0,3.9,0.004,0.019,,0.0,0.004,0.004,,,,,,0.234,0.046
522,CT,2010-07-14,Long Island Sound,Northeast,Virginian Province,Y,0.0,6.8,0.004,0.038,,0.0,0.004,0.004,,,,,,0.248,0.07
538,WI,2010-07-07,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.0,0.0,0.307,0.0,,,0.307,,,,,,0.0,0.307,0.0024
539,WI,2010-07-06,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.0,0.0,0.294,0.0,,,0.294,,,,,,0.19,0.484,0.0027
540,WI,2010-07-01,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.0,0.5,0.251,,,,0.251,,,,,,0.0,0.251,0.0028
541,WI,2010-07-06,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.017,0.0,0.345,0.0,,,0.328,,,,,,0.17,0.498,0.0027
542,WI,2010-07-01,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.0,0.0,0.259,,,,0.259,,,,,,0.0,0.259,0.0025
544,WI,2010-06-30,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.0,0.6,0.279,0.0,,,0.279,,,,,,0.15,0.429,0.0069
545,FL,2010-06-24,Gasparilla Bay,Gulf,West Indian Province,Y,0.005,15.06,0.035,0.022,,,0.03,,,,,,,0.713125,0.049043125
546,FL,2010-06-24,Pine Island Sound,Gulf,West Indian Province,Y,0.0,4.24,0.047,0.009,,,0.047,,,,,,,0.348125,0.029493125
547,FL,2010-06-24,St. Joseph Bay,Gulf,Louisianian Province,Y,0.0,2.5,0.017,0.026,,,0.017,,,,,,,0.261875,0.017600375
551,FL,2010-06-25,West Bay (St. Andrew),Gulf,Louisianian Province,Y,0.0,2.13,0.013,0.005,,,0.013,,,,,,,0.273375,0.01146275
552,FL,2010-06-25,St. Andrew Bay,Gulf,Louisianian Province,Y,0.0,1.51,0.014,0.004,,,0.014,,,,,,,0.2275,0.009526125
553,FL,2010-06-24,St. George Sound,Gulf,Louisianian Province,Y,0.003,8.0,0.01,0.055,,,0.007,,,,,,,0.435625,0.04783375
554,FL,2010-06-30,Indian River Lagoon,Southeast,West Indian Province,Y,0.002,4.02,0.012,0.021,,,0.01,,,,,,,0.297125,0.032110625
555,FL,2010-06-28,Banana River,Southeast,Carolinian Province,Y,0.007,49.58,0.021,0.043,,,0.014,,,,,,,1.188,0.0471385
556,FL,2010-06-30,Indian River Lagoon,Southeast,West Indian Province,Y,0.073,4.04,0.081,0.04,,,0.008,,,,,,,0.5855,0.08838525
557,FL,2010-06-28,Newfound Harbor,Southeast,Carolinian Province,Y,0.004,13.99,0.019,0.052,,,0.015,,,,,,,1.565,0.065768625
558,FL,2010-07-01,Indian River Lagoon,Southeast,Carolinian Province,Y,0.002,16.16,0.011,0.01,,,0.009,,,,,,,0.794875,0.101277625
559,FL,2010-06-28,Indian River Lagoon,Southeast,Carolinian Province,Y,0.004,12.07,0.018,0.057,,,0.014,,,,,,,0.848125,0.095840375
567,FL,2010-07-19,Buttonwood Sound,Gulf,West Indian Province,Y,0.014,0.6,0.026,0.005,,,0.012,,,,,,,0.77625,0.00443875
568,FL,2010-07-13,The Narrows,Gulf,Louisianian Province,Y,0.0,3.85,0.013,0.008,,,0.013,,,,,,,0.36125,0.02040375
571,FL,2010-07-12,Whitney River,Gulf,West Indian Province,Y,0.0,18.08,0.01,0.042,,,0.01,,,,,,,0.70375,0.091095
572,FL,2010-07-13,Whitewater Bay,Gulf,West Indian Province,Y,0.004,2.25,0.011,0.012,,,0.007,,,,,,,0.65875,0.01457125
573,FL,2010-07-12,Chokoloskee Bay,Gulf,West Indian Province,Y,0.0,5.32,0.009,0.022,,,0.009,,,,,,,0.58875,0.03625125
575,FL,2010-07-20,Little Blackwater Sound,Gulf,West Indian Province,Y,0.07,0.81,0.095,0.006,,,0.025,,,,,,,0.8125,0.00427
576,FL,2010-07-19,Joe Bay,Gulf,West Indian Province,Y,0.042,1.23,0.075,0.007,,,0.033,,,,,,,0.97,0.0061075
577,FL,2010-07-15,Florida Bay,Gulf,West Indian Province,Y,0.008,0.81,0.023,0.013,,,0.015,,,,,,,0.5075,0.00853375
578,FL,2010-07-21,Blackwater Sound,Gulf,West Indian Province,Y,0.114,1.59,0.296,0.007,,,0.182,,,,,,,0.93,0.00720125
579,FL,2010-07-20,Little Blackwater Sound,Gulf,West Indian Province,Y,0.062,1.19,0.087,0.007,,,0.025,,,,,,,0.8425,0.00524625
580,FL,2010-07-15,Florida Bay,Gulf,West Indian Province,Y,0.0,5.08,0.014,0.01,,,0.014,,,,,,,0.4275,0.02228
584,FL,2010-07-21,Little Card Sound,Gulf,West Indian Province,Y,0.006,0.59,0.175,0.004,,,0.169,,,,,,,0.4675,0.00310375
585,FL,2010-07-21,Little Card Sound,Gulf,West Indian Province,Y,0.001,0.62,0.134,0.004,,,0.133,,,,,,,0.49,0.00250625
586,FL,2010-07-20,Barnes Sound,Gulf,West Indian Province,Y,0.014,0.53,0.043,0.007,,,0.029,,,,,,,0.5925,0.00353625
587,VA,2010-07-13,Warwick River,Northeast,Virginian Province,Y,0.004,14.8,0.004,0.03,3.1,0.001,0.001,0.0,0.284,0.0493,0.216,0.033,,0.5,0.0823
588,VA,2010-07-13,Lower James River,Northeast,Virginian Province,Y,0.025,12.2,0.03,0.043,3.2,0.005,0.005,0.0,0.272,0.0353,0.194,0.045,,0.466,0.0803
589,FL,2010-07-15,Choctawhatchee Bay,Gulf,Louisianian Province,Y,0.001,1.45,0.017,0.009,,,0.016,,,,,,,0.29,0.00743625
590,FL,2010-07-15,Choctawhatchee Bay,Gulf,Louisianian Province,Y,0.0,8.46,0.011,0.015,,,0.011,,,,,,,0.34625,0.0244
591,LA,2010-07-19,Lake Borgne,Gulf,Louisianian Province,Y,0.005,11.09,0.005,0.064,,,0.0,,,,,,,0.44625,0.08766625
592,LA,2010-07-19,Lake Borgne,Gulf,Louisianian Province,Y,0.002,13.4,0.01,0.055,,,0.008,,,,,,,0.52625,0.087715
593,LA,2010-07-20,Lake Borgne,Gulf,Louisianian Province,Y,0.003,6.01,0.003,0.072,,,0.0,,,,,,,0.42875,0.09431625
594,LA,2010-07-18,Lake Borgne,Gulf,Louisianian Province,Y,0.003,8.47,0.003,0.062,,,0.0,,,,,,,0.4575,0.09979125
595,LA,2010-07-12,Lake Maurepas,Gulf,Louisianian Province,Y,0.006,9.51,0.006,0.098,,,0.0,,,,,,,0.46125,0.132235
596,FL,2010-07-12,Pensacola Bay,Gulf,Louisianian Province,Y,0.0,2.69,0.017,0.009,,,0.017,,,,,,,0.35375,0.01660125
597,FL,2010-07-12,Pensacola Bay,Gulf,Louisianian Province,Y,0.002,2.86,0.018,0.008,,,0.016,,,,,,,0.3,0.0169225
598,FL,2010-07-13,Santa Rosa Sound,Gulf,Louisianian Province,Y,0.0,6.33,0.014,0.012,,,0.014,,,,,,,0.4475,0.02879875
599,FL,2010-07-13,Santa Rosa Sound,Gulf,Louisianian Province,Y,0.001,6.64,0.018,0.01,,,0.017,,,,,,,0.36,0.0226975
600,FL,2010-07-14,East Bay,Gulf,Louisianian Province,Y,0.002,5.87,0.032,0.01,,,0.03,,,,,,,0.33875,0.0164
601,FL,2010-07-14,East Bay,Gulf,Louisianian Province,Y,0.001,10.69,0.016,0.01,,,0.015,,,,,,,0.4075,0.021015
603,FL,2010-07-14,Escambia Bay,Gulf,Louisianian Province,Y,0.001,,0.061,0.015,,,0.06,,,,,,,0.495,0.02319375
616,OR,2010-06-23,Coos Bay,West,Columbian Province,Y,0.004,2.76376,0.226,0.049,,,0.222,,,,,,,0.436875,0.062795625
617,OR,2010-06-22,Coquille River,West,Columbian Province,Y,0.0,6.44,0.421,0.073,,,0.421,,,,,,,0.509375,0.067675625
618,OR,2010-07-08,Alsea Bay,West,Columbian Province,Y,0.02,6.64,0.34,0.07,,,0.32,,,,,,,0.50125,0.07281
619,OR,2010-07-06,Siuslaw River,West,Columbian Province,Y,0.004,11.58,0.01,0.015,,,0.006,,,,,,,0.2675,0.03471
620,OR,2010-07-09,Yaquina River,West,Columbian Province,Y,0.032,3.34,0.103,0.037,,,0.071,,,,,,,0.37875,0.06652
621,WA,2010-07-13,Dabob Bay,West,Columbian Province,Y,0.003,1.76,0.01,0.015,,,0.007,,,,,,,0.14375,0.0246675
622,WA,2010-07-14,Hood Canal,West,Columbian Province,Y,0.0,0.84,0.0,0.013,,,0.0,,,,,,,0.1325,0.021105
623,WA,2010-07-15,Useless Bay,West,Columbian Province,Y,0.001,3.76,0.036,0.023,,,0.035,,,,,,,0.24625,0.04569375
624,WA,2010-07-07,Puget Sound,West,Columbian Province,Y,0.011,17.9,0.023,0.009,,,0.012,,,,,,,0.35625,0.06113875
625,WA,2010-06-09,Columbia River,West,Columbian Province,Y,0.006,7.62,0.203,0.031,,,0.197,,,,,,,0.3,0.0684
626,OR,2010-06-08,Columbia River,West,Columbian Province,Y,0.006,7.79008,0.195,0.03,,,0.189,,,,,,,0.31,0.05351625
627,WA,2010-07-14,Baker Bay,West,Columbian Province,Y,0.086,1.62,0.221,0.034,,,0.135,,,,,,,0.3875,0.069545
628,OR,2010-06-07,Columbia River,West,Columbian Province,Y,0.003,8.91,0.191,0.029,,,0.188,,,,,,,0.30125,0.050585
629,GA,2010-07-27,Medway River,Southeast,Carolinian Province,Y,0.0,11.31,0.025,0.058,,,0.025,,,,,,,0.5575,0.09526625
630,NC,2010-07-20,New River,Southeast,Carolinian Province,Y,0.003,10.72,0.028,0.012,,,0.025,,,,,,,0.58375,0.0816075
631,GA,2010-07-28,Bear River,Southeast,Carolinian Province,Y,0.006,17.87,0.016,0.039,,,0.01,,,,,,,0.6175,0.096125
634,OH,2010-06-14,Lake Erie,Great Lakes,Great Lakes Province,Y,0.01,4.97,0.571,0.004,,,0.561,,,,,,,0.92125,0.01563
635,OH,2010-07-07,Lake Erie,Great Lakes,Great Lakes Province,Y,0.007,2.3,0.392,0.004,,,0.385,,,,,,,0.61875,0.00879375
636,FL,2010-06-29,Indian River Lagoon,Southeast,Carolinian Province,Y,0.034,6.58,0.043,0.008,,,0.009,,,,,,,1.09125,0.028263375
637,FL,2010-06-29,Indian River Lagoon,Southeast,Carolinian Province,Y,0.005,11.71,0.012,0.008,,,0.007,,,,,,,1.08625,0.03685825
638,FL,2010-06-29,Mosquito Lagoon,Southeast,Carolinian Province,Y,0.016,12.03,0.026,0.034,,,0.01,,,,,,,0.72925,0.07406925
639,VA,2010-07-08,Back Bay,Northeast,Carolinian Province,Y,0.009,19.4,0.009,0.003,1.5,0.002,0.002,0.001,0.877,0.0103,0.582,0.008,,1.459,0.0183
640,NC,2010-06-21,Albermarle Sound,Southeast,Carolinian Province,Y,0.004,10.02,0.004,0.009,,,0.0,,,,,,,0.460625,0.026851875
641,OH,2010-07-22,Lake Erie,Great Lakes,Great Lakes Province,Y,0.002,12.12,0.483,0.006,,,0.481,,,,,,,0.865,0.02337625
642,NC,2010-07-14,Jarrett Bay,Southeast,Carolinian Province,Y,0.001,8.39,0.014,0.018,,,0.013,,,,,,,0.5075,0.0381025
643,OH,2010-07-20,Lake Erie,Great Lakes,Great Lakes Province,Y,0.043,16.11,0.2,0.008,,,0.157,,,,,,,0.56625,0.02442625
644,NC,2010-07-28,Newport River,Southeast,Carolinian Province,Y,0.015,2.35,0.049,0.01,,,0.034,,,,,,,0.48875,0.03009
645,OH,2010-06-09,Lake Erie,Great Lakes,Great Lakes Province,Y,0.034,3.82,0.496,0.005,,,0.462,,,,,,,0.68375,0.01499
646,OH,2010-07-07,Lake Erie,Great Lakes,Great Lakes Province,Y,0.005,2.63,0.298,0.004,,,0.293,,,,,,,0.53,0.00967875
647,NC,2010-07-14,South River,Southeast,Carolinian Province,Y,0.001,14.98,0.001,0.094,,,0.0,,,,,,,0.6275,0.15157875
649,MI,2010-07-09,Lake Huron,Great Lakes,Great Lakes Province,Y,0.012,0.42,0.247,0.006,,,0.235,,,,,,,0.37,0.00229
650,MI,2010-07-14,Lake Huron,Great Lakes,Great Lakes Province,Y,0.004,1.37,0.229,0.004,,,0.225,,,,,,,0.395,0.003675
651,MI,2010-07-15,Lake Huron,Great Lakes,Great Lakes Province,Y,0.006,2.51,0.006,0.006,,,0.0,,,,,,,0.30125,0.00988375
652,MI,2010-07-01,Lake Huron,Great Lakes,Great Lakes Province,Y,0.006,0.63,0.264,0.005,,,0.258,,,,,,,0.395,0.003245
653,ME,2010-07-13,Muscongus Bay,Northeast,Acadian Province,Y,0.0,2.08,0.009,0.016,,,0.009,,,,,,,0.24875,0.02475625
654,MI,2010-07-21,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.002,1.09,0.257,0.007,,,0.255,,,,,,,0.41375,0.00302375
655,MI,2010-07-20,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.004,5.31,0.237,0.006,,,0.233,,,,,,,0.4875,0.007275
656,MI,2010-07-21,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.005,0.58,0.291,0.004,,,0.286,,,,,,,0.45875,0.00249125
662,WA,2010-07-13,Hood Canal,West,Columbian Province,Y,0.003,0.53,0.01,0.014,,,0.007,,,,,,,0.12375,0.02284125
663,OH,2010-06-14,Lake Erie,Great Lakes,Great Lakes Province,Y,0.06,2.81,0.68,0.005,,,0.62,,,,,,,0.79625,0.012205
687,ME,2010-08-29,Luckse Sound,Northeast,Acadian Province,Y,0.025,2.66,0.042,0.027,,,0.017,,,,,,,0.23625,0.0447875
688,ME,2010-08-30,Broad Sound,Northeast,Acadian Province,Y,0.007,2.66,0.016,0.023,,,0.009,,,,,,,0.18875,0.03552375
689,ME,2010-08-29,Cousins Island Sound,Northeast,Acadian Province,Y,0.005,3.91,0.011,0.031,,,0.006,,,,,,,0.215,0.04924
690,ME,2010-08-30,Casco Bay,Northeast,Acadian Province,Y,0.005,2.21,0.016,0.02,,,0.011,,,,,,,0.19,0.03161
691,MA,2010-07-09,Boston Inner Harbor,Northeast,Acadian Province,Y,0.056,5.2,0.098,0.022,,,0.042,,,,,,,0.3125,0.03638125
692,MA,2010-07-08,Plum Island Sound,Northeast,Acadian Province,Y,0.001,3.18,0.019,0.021,,,0.018,,,,,,,0.23,0.03525375
693,MA,2010-07-15,Kingston Bay,Northeast,Acadian Province,Y,0.0,4.95,0.011,0.009,,,0.011,,,,,,,0.24875,0.02278
694,MA,2010-07-08,Gloucester Harbor,Northeast,Acadian Province,Y,0.0,1.26,0.018,0.009,,,0.018,,,,,,,0.155,0.0187525
695,MA,2010-07-08,Salem Sound,Northeast,Acadian Province,Y,0.0,3.31,0.018,0.007,,,0.018,,,,,,,0.19375,0.01972125
696,MA,2010-07-15,Plymouth Bay,Northeast,Acadian Province,Y,0.0,4.52,0.011,0.011,,,0.011,,,,,,,0.25125,0.03079375
697,MA,2010-07-09,Broad Sound,Northeast,Acadian Province,Y,0.001,5.196114286,0.02,0.019,,,0.019,,,,,,,0.2425,0.0451
699,MA,2010-07-16,Quincy Bay,Northeast,Acadian Province,Y,0.0,3.93,0.009,0.017,,,0.009,,,,,,,0.23625,0.03467375
700,NH,2010-07-21,Piscataqua River,Northeast,Acadian Province,Y,0.01,11.34,0.021,0.025,,,0.011,0.0,,,,,,0.557,0.051
701,NH,2010-08-03,Little Harbor,Northeast,Acadian Province,Y,0.016,3.93,0.038,0.031,,,0.022,0.0,,,,,,0.373,0.032
703,ME,2010-07-22,Stockton Harbor,Northeast,Acadian Province,Y,0.0,4.17,0.147,0.017,,,0.147,,,,,,,0.2675,0.02963875
704,ME,2010-07-20,East Penobscot Bay,Northeast,Acadian Province,Y,0.0,6.4619,0.022,0.021,,,0.022,,,,,,,0.21125,0.02609125
705,ME,2010-07-20,West Penobscot Bay,Northeast,Acadian Province,Y,0.0,1.5,0.021,0.012,,,0.021,,,,,,,0.21625,0.0265575
706,ME,2010-07-19,West Penobscot Bay,Northeast,Acadian Province,Y,0.0,1.46,0.021,0.006,,,0.021,,,,,,,0.205,0.015265
707,ME,2010-07-21,West Penobscot Bay,Northeast,Acadian Province,Y,0.0,4.28,0.022,0.03,,,0.022,,,,,,,0.255,0.0847525
708,ME,2010-07-19,East Penobscot Bay,Northeast,Acadian Province,Y,0.0,4.87,0.022,0.01,,,0.022,,,,,,,0.19375,0.02285375
709,ME,2010-07-22,East Penobscot Bay,Northeast,Acadian Province,Y,0.0,3.15,0.121,0.01,,,0.121,,,,,,,0.23375,0.0251725
710,ME,2010-07-20,East Penobscot Bay,Northeast,Acadian Province,Y,0.0,4.49,0.025,0.012,,,0.025,,,,,,,0.215,0.02325375
712,ME,2010-08-03,Union River Bay,Northeast,Acadian Province,Y,0.006,1.31,0.023,0.012,,,0.017,,,,,,,0.18875,0.027455625
713,ME,2010-07-29,Muscongus Sound,Northeast,Acadian Province,Y,0.004,3.64,0.017,0.018,,,0.013,,,,,,,0.2475,0.0326325
714,ME,2010-08-11,Machias Bay,Northeast,Acadian Province,Y,0.012,1.04,0.092,0.025,,,0.08,,,,,,,0.26625,0.0289775
715,ME,2010-07-23,Blue Hill Bay,Northeast,Acadian Province,Y,0.0,1.36,0.123,0.009,,,0.123,,,,,,,0.25375,0.02198875
716,ME,2010-08-04,Pleasant Bay,Northeast,Acadian Province,Y,0.007,4.10984,0.025,0.014,,,0.018,,,,,,,0.25875,0.031315625
717,ME,2010-08-02,Eggemoggin Reach,Northeast,Acadian Province,Y,0.004,0.97,0.022,0.012,,,0.018,,,,,,,0.221875,0.02441375
718,ME,2010-09-01,Sheepscot Bay,Northeast,Acadian Province,Y,0.003,4.28,0.008,0.019,,,0.005,,,,,,,0.20875,0.03414375
719,ME,2010-08-04,Narraguagus Bay,Northeast,Acadian Province,Y,0.013,4.92608,0.035,0.021,,,0.022,,,,,,,0.27125,0.036963125
720,ME,2010-07-27,Saco Bay,Northeast,Acadian Province,Y,0.002,1.28,0.031,0.014,,,0.029,,,,,,,0.29125,0.02624875
721,ME,2010-07-28,Sheepscot River,Northeast,Acadian Province,Y,0.03,2.1,0.081,0.027,,,0.051,,,,,,,0.34125,0.04478875
722,ME,2010-08-03,Bartlett Narrows,Northeast,Acadian Province,Y,0.005,2.69,0.023,0.014,,,0.018,,,,,,,0.25125,0.035394375
723,ME,2010-08-10,Western Bay,Northeast,Acadian Province,Y,0.008,3.78,0.038,0.025,,,0.03,,,,,,,0.29375,0.02754
724,ME,2010-07-22,Jericho Bay,Northeast,Acadian Province,Y,0.0,3.39,0.152,0.011,,,0.152,,,,,,,0.26875,0.02633375
725,ME,2010-08-10,Western Bay,Northeast,Acadian Province,Y,0.007,3.72,0.029,0.021,,,0.022,,,,,,,0.23125,0.02366875
726,CA,2010-07-26,Morro Bay,West,Californian Province,Y,0.039,1.66,0.075,0.031,,,0.036,,,,,,,0.4775,0.06872625
727,CA,2010-07-27,San Luis Obispo Bay,West,Californian Province,Y,0.004,11.2,0.07,0.018,,,0.066,,,,,,,0.4825,0.05289625
728,CA,2010-07-26,Morro Bay,West,Californian Province,Y,0.08,0.94,0.127,0.043,,,0.047,,,,,,,0.47625,0.057265
729,CA,2010-08-11,Drakes Bay,West,Californian Province,Y,0.047,6.24,0.109,0.037,,,0.062,,,,,,,0.39375,0.02838875
731,NC,2010-07-26,Albermarle Sound,Southeast,Carolinian Province,Y,0.0,42.1,0.0,0.004,,,0.0,,,,,,,0.93625,0.04283
732,NC,2010-07-20,Roanoke Sound,Southeast,Carolinian Province,Y,0.005,16.34,0.005,0.007,,,0.0,,,,,,,0.74,0.0325475
733,NC,2010-07-26,Pamlico Sound,Southeast,Carolinian Province,Y,0.0,11.03,0.01,0.005,,,0.01,,,,,,,0.69375,0.026965
734,NC,2010-07-27,Albermarle Sound,Southeast,Carolinian Province,Y,0.002,48.69,0.002,0.007,,,0.0,,,,,,,0.9775,0.04246
735,NC,2010-07-27,Corrituck Sound,Southeast,Carolinian Province,Y,0.004,45.2,0.012,0.008,,,0.008,,,,,,,1.575,0.03959875
736,NC,2010-07-12,Little River,Southeast,Carolinian Province,Y,0.006,86.27,0.006,0.108,,,0.0,,,,,,,1.368,0.2641375
737,NC,2010-07-20,Albermarle Sound,Southeast,Carolinian Province,Y,0.001,14.03,0.001,0.007,,,0.0,,,,,,,0.67875,0.03100375
738,GA,2010-08-04,Wassaw Sound,Southeast,Carolinian Province,Y,0.009,11.6,0.033,0.048,,,0.024,,,,,,,0.445,0.078594375
739,GA,2010-08-03,Wassaw Sound,Southeast,Carolinian Province,Y,0.015,25.46,0.034,0.071,,,0.019,,,,,,,0.7175,0.178198125
741,WA,2010-07-29,Puget Sound,West,Columbian Province,Y,0.005,12.22,0.015,0.011,,,0.01,,,,,,,0.43,0.05508875
743,WA,2010-07-23,Port Susan,West,Columbian Province,Y,0.0,,0.093,0.013,,,0.093,,,,,,,0.18375,0.02877875
744,WA,2010-07-23,Port Susan,West,Columbian Province,Y,0.0,1.79,0.068,0.013,,,0.068,,,,,,,0.19875,0.02542125
746,WA,2010-07-20,Bellingham Bay,West,Columbian Province,Y,0.001,16.95,0.021,0.016,,,0.02,,,,,,,0.4,0.05860375
747,WA,2010-07-22,Saratoga Passage,West,Columbian Province,Y,0.0,3.32,0.086,0.017,,,0.086,,,,,,,0.23875,0.04299125
749,WA,2010-07-29,Boundary/Semiahmoo Bay,West,Columbian Province,Y,0.008,9.09,0.033,0.02,,,0.025,,,,,,,0.3225,0.04528875
750,CA,2010-08-09,Humboldt Bay,West,Columbian Province,Y,0.034,2.84,0.098,0.041,,,0.064,,,,,,,0.36125,0.0663175
751,CA,2010-08-10,Arcata Bay,West,Columbian Province,Y,0.026,2.19,0.051,0.068,,,0.025,,,,,,,0.33375,0.08851625
752,CA,2010-08-12,Tomales Bay,West,Columbian Province,Y,0.01,1.42,0.034,0.06,,,0.024,,,,,,,0.47,0.1114525
753,CA,2010-08-10,Big Lagoon,West,Columbian Province,Y,0.028,2.11,0.033,0.025,,,0.005,,,,,,,0.30125,0.03212
754,WA,2010-08-10,Grays Harbor,West,Columbian Province,Y,0.033,3.77,0.069,0.05,,,0.036,,,,,,,0.3125,0.052905
755,FL,2010-08-31,St. George Sound,Gulf,Louisianian Province,Y,0.025,11.34,0.025,0.008,,,0.0,,,,,,,0.505,0.04172375
756,LA,2010-07-29,East Cote Blanche Bay,Gulf,Louisianian Province,Y,0.006,11.69,0.801,0.083,,,0.795,,,,,,,1.313,0.1566375
757,LA,2010-08-04,Caillou Bay,Gulf,Louisianian Province,Y,0.006,22.29828571,0.013,0.01,,,0.007,,,,,,,0.7375,0.080886875
758,LA,2010-08-08,Lake Pelto,Gulf,Louisianian Province,Y,0.007,14.93,0.022,0.014,,,0.015,,,,,,,0.6075,0.07103375
759,LA,2010-08-09,Lake Barre,Gulf,Louisianian Province,Y,0.006,25.78,0.011,0.06,,,0.005,,,,,,,0.85375,0.13914375
760,LA,2010-07-21,Terrebone Bay,Gulf,Louisianian Province,Y,0.003,10.39,0.112,0.021,,,0.109,,,,,,,0.6725,0.07369875
761,LA,2010-08-09,Lake Pelto,Gulf,Louisianian Province,Y,0.005,16.32,0.01,0.018,,,0.005,,,,,,,0.63375,0.0747525
762,LA,2010-08-08,Lake Pelto,Gulf,Louisianian Province,Y,0.008,17.82,0.016,0.015,,,0.008,,,,,,,0.665,0.0773025
763,LA,2010-08-01,Chandeleur Sound,Gulf,Louisianian Province,Y,0.006,13.58,0.013,0.036,,,0.007,,,,,,,0.638125,0.09698625
